Name,Latest Chapter,Dated Released,depth,Genre,Status,Rating,img-link
Nine,Chapter 2,"Apr 20,21",24,"Romance,Shoujo",Ongoing,4,https://avt.mkklcdnv6temp.com/6/r/24-1618847234.jpg
Hokuou Kizoku To Moukinzuma No Yukiguni Karigurashi,Chapter 61,"Apr 26,21",8,"Comedy,Historical,Josei,Romance,Slice of life",Ongoing,4,https://avt.mkklcdnv6temp.com/43/r/16-1583495035.jpg
Second Life Of A Gangster,Chapter 51,"Mar 30,21",38,"Action,Fantasy,Psychological,Romance,Seinen,Slice of life,Webtoons,Manhwa",Ongoing,4,https://avt.mkklcdnv6temp.com/10/q/23-1611632964.jpg
A Returner's Magic Should Be Special,Chapter 145,"Apr 25,21",14,"Action,Adventure,Comedy,Drama,Fantasy,Martial arts,Romance,School life,Shounen,Slice of life,Supernatural,Webtoons",Ongoing,4,https://avt.mkklcdnv6temp.com/19/m/17-1583495960.jpg
Murim Login,Chapter 65,"Apr 25,21",14,Action,Ongoing,4,https://avt.mkklcdnv6temp.com/12/j/21-1589305999.jpg
Sss-Class Suicide Hunter,Chapter 34,"Apr 19,21",25,"Action,Adventure,Comedy,Drama,Fantasy,Martial arts,Psychological,Seinen,Supernatural,Webtoons,Manhwa",Ongoing,4,https://avt.mkklcdnv6temp.com/2/l/23-1609948262.jpg
Argonavis From Bang Dream! Comics,Chapter 14 : Starting Line,"Apr 27,21",7,Manhua,Ongoing,4,https://avt.mkklcdnv6temp.com/47/h/23-1617120555.jpg
Anyone Can Become A Villainess,Chapter 20,"Apr 26,21",10,"Drama,Fantasy,Historical,Romance",Ongoing,4,https://avt.mkklcdnv6temp.com/19/h/23-1612289204.jpg
Asirhart Kingdom’S Aide,Chapter 14,"Apr 28,21",2,"Drama,Fantasy,Historical,Romance",Ongoing,4,https://avt.mkklcdnv6temp.com/7/g/24-1619063057.jpg
Gokushufudou: The Way Of The House Husband,Chapter 70,"Apr 19,21",25,"Comedy,Seinen",Ongoing,4,https://avt.mkklcdnv6temp.com/15/g/16-1583494021.jpg
Star Martial God Technique,Chapter 443,"Apr 26,21",11,"Action,Adventure,Drama,Fantasy,Harem,Martial arts,Romance,Seinen,Manhua",Ongoing,4,https://avt.mkklcdnv6temp.com/32/i/14-1583490877.jpg
Uzaki-Chan Wa Asobitai!,Chapter 66.2,"Apr 18,21",26,"Comedy,Ecchi,Romance,Slice of life",Ongoing,4,https://avt.mkklcdnv6temp.com/20/e/16-1583494195.jpg
"Please Don't Bully Me, Nagatoro",Chapter 81,"Apr 20,21",24,"Comedy,Romance,School life,Shounen",Ongoing,4,https://avt.mkklcdnv6temp.com/2/g/16-1583493543.jpg
Yours And My Different Meanings,Ch.1,"Jan 20,16",618,"One shot,Shoujo ai,Yuri",Completed,4,https://avt.mkklcdnv6temp.com/33/w/12-1583487097.jpg
Dachi No Imouto,Chapter 12,"Apr 22,21",21,"Comedy,Josei,Romance,School life",Ongoing,4,https://avt.mkklcdnv6temp.com/19/b/22-1600660573.jpg
Yasei No Last Boss Ga Arawareta!,Chapter 39,"Mar 11,21",58,"Action,Adventure,Drama,Fantasy,Gender bender,Shounen",Ongoing,4,https://avt.mkklcdnv6temp.com/39/y/15-1583493041.jpg
Rebirth Of The Urban Immortal Cultivator,Chapter 584,"Apr 25,21",11,"Action,Adventure,Fantasy,Martial arts,Seinen,Slice of life,Supernatural",Ongoing,4,https://avt.mkklcdnv6temp.com/19/o/19-1583499863.jpg
Trash Of The Count’S Family,Chapter 47,"Apr 17,21",27,"Action,Adventure,Comedy,Fantasy",Ongoing,4,https://avt.mkklcdnv6temp.com/7/h/22-1598935543.jpg
Seven Day Alternating Personality Syndrome,Chapter 4: Punishment,"Apr 20,21",24,"Ecchi,Mystery,Psychological,Seinen",Ongoing,4,https://avt.mkklcdnv6temp.com/45/y/23-1617027573.jpg
The Player That Can't Level Up,Chapter 28,"Apr 26,21",11,"Action,Adventure,Fantasy,Mystery",Ongoing,4,https://avt.mkklcdnv6temp.com/34/k/23-1614564316.jpg
One Piece,Chapter 1007,"Mar 12,21",57,"Action,Adventure,Comedy,Drama,Fantasy,Shounen",Ongoing,4,https://avt.mkklcdnv6temp.com/3/u/1-1583463814.jpg
Boku No Hero Academia,Chapter 279,"Jul 20,20",154,"Action,Comedy,Fantasy,School life,Sci fi,Shounen",Ongoing,4,https://avt.mkklcdnv6temp.com/23/e/1-1583464609.jpg
Rizelmine,Chapter 6.5: Level.00 Omake,"Mar 13,20",178,"Action,Adult,Comedy,Cooking,Fantasy,Romance,School life,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/7/a/5-1583472140.jpg
Wallaby,Chapter 8,"Feb 21,20",182,"Comedy,School life,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/1/k/4-1583471860.jpg
Gyo (Shuichi Sashimi),Chapter: Oneshot,"Dec 30,19",192,"Comedy,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/14/m/20-1583501584.jpg
Gensou Suikoden: Uke Tsugareshi Monshou,Vol.2 Chapter 4,"Dec 15,19",196,"Adventure,Fantasy,Shounen,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/34/e/16-1583494700.jpg
Berubara Kids,Vol.1 Chapter 6,"Jul 01,19",227,"Comedy,Historical",Completed,5,https://avt.mkklcdnv6temp.com/41/f/18-1583498699.jpg
Chidaruma Kenpou Onorera Ni Tsugu,Vol.1 Chapter 3: Onorera Ni Tsugu,"May 29,19",232,"Historical,Martial arts,Mature,Seinen,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/33/q/6-1583475485.jpg
Sabel Tiger,Vol.1 Chapter 2: The Planet Of The Unicorn,"May 24,19",233,"Drama,Psychological,Sci fi,Seinen",Completed,5,https://avt.mkklcdnv6temp.com/29/w/18-1583498235.jpg
Midnight,Vol.6 Chapter 53: Act.53 [End],"May 05,19",235,"Drama,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/34/t/1-1583465064.jpg
Super Remix Best,Vol.1 Chapter 2: My Health (2),"Apr 13,19",238,"Comedy,Seinen,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/16/t/18-1583497741.jpg
Himitsu No Kaidan,Vol.2 Chapter 14: A Distant Promise,"Mar 17,19",243,"School life,Shoujo,Slice of life,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/4/w/11-1583484170.jpg
Fm Kamihama Holy Radio Station - Mahou Shoujo Madoka Magica Side Story Magia Record,Chapter 22,"Mar 19,19",243,Comedy,Completed,5,https://avt.mkklcdnv6temp.com/7/j/18-1583497370.jpg
Even,Chapter 3,"Jan 18,19",252,"One shot,Shoujo ai,Sports",Completed,5,https://avt.mkklcdnv6temp.com/28/j/8-1583479257.jpg
Diabolo,Vol.3 Shards Of An Angel,"Jan 18,19",252,"Drama,Horror,Josei,Psychological,Supernatural,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/39/j/12-1583487320.jpg
Sengoku Tsukiyo,Vol.2 Sengoku Nights,"Dec 07,18",258,"Action,Comedy,Gender bender,Horror,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/28/q/5-1583472969.jpg
Fushou No Musuko,Vol.01 Chapter 7 : That Lovely Girl,"Nov 19,18",261,"Drama,One shot,Shounen,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/13/i/6-1583474654.jpg
Matsuri Night,Vol.1 Chapter 1,"Oct 25,18",264,"Mystery,One shot",Completed,5,https://avt.mkklcdnv6temp.com/25/s/12-1583486776.jpg
Mystique Mandala Of Hell (Hino Horror #12),Chapter 6: Alone Again End,"Oct 18,18",265,Horror,Completed,5,https://avt.mkklcdnv6temp.com/14/u/17-1583495797.jpg
Satoshi Kon's Opus,Chapter 20 [End],"Oct 18,18",265,"Action,Adult,Adventure,Drama,Fantasy,Mystery,Psychological,Seinen,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/14/k/17-1583495784.jpg
Final Fantasy Type-0 Side Story: The Ice Reaper,Vol.5 Extra Chapter: If Only... [End],"Oct 13,18",266,"Comedy,Fantasy,School life,Shounen,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/11/z/17-1583495699.jpg
Soregashi Kojiki Ni Arazu,"Chapter 6: No One May Wish For War, But...","Sep 29,18",268,"Drama,Historical,Seinen",Completed,5,https://avt.mkklcdnv6temp.com/17/w/10-1583482810.jpg
Trigun: Rising,Chapter 3: Trigun: The Lost Plant,"Sep 16,18",270,"Action,Fantasy,One shot,Sci fi,Seinen,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/29/i/11-1583485070.jpg
Toki Wo Kakeru Shoujo,Vol.2 Final Chapter,"Sep 18,18",270,"Action,Adult,Cooking,Romance,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/30/v/11-1583485124.jpg
The Isle,Chapter 15: Normal [End],"Aug 30,18",272,"Drama,Webtoons",Completed,5,https://avt.mkklcdnv6temp.com/24/s/13-1583488636.jpg
Shinmai Fukei Kiruko-San,Chapter 25: See You Tomorrow [End],"Aug 23,18",273,"Action,Comedy,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/48/l/5-1583473783.jpg
Tomonen,"Chapter 6 [End]: Youko, A Little Girl [End]","Aug 14,18",274,"Fantasy,Josei,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/45/k/16-1583495101.jpg
Please God,Chapter 11: Sayuri-San's Worries (End),"Aug 15,18",274,"Adult,Comedy,Drama,Josei,Shoujo ai",Completed,5,https://avt.mkklcdnv6temp.com/41/i/2-1583467288.jpg
Fugurumakan Raihouki,Chapter 8: The Photo Studio's Preceding Visitor,"Jun 15,18",283,"Drama,Historical,Seinen,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/14/h/6-1583474714.jpg
Shiroi Kumo,"Chapter 14 V2 : ""to A Certain Place"" [End]","Jun 15,18",283,"Drama,Fantasy,Seinen,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/40/k/9-1583481749.jpg
Dreaming: Fairy Tale Of Dream,Vol.1 Chapter Giant-Space-Monster-Fighting-Unit:-Dol-V : Dol-V: Space Monster Specialty Steak Restaruant’S Danger,"Jun 09,18",284,"Adventure,Fantasy,One shot",Completed,5,https://avt.mkklcdnv6temp.com/20/e/6-1583474961.jpg
Gundam Legacy,Vol.1 Chapter 1-6 : Volume 1,"Jun 10,18",284,"Action,Adventure,Mecha,Sci fi",Completed,5,https://avt.mkklcdnv6temp.com/20/g/8-1583478943.jpg
Getter Robo G,Vol.1 Chapter 4 : The Terrifying Bacteriological Bomb,"Jun 10,18",284,"Action,Mecha,Sci fi,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/10/e/11-1583484375.jpg
Chiro-Chan,Chapter 5: Vol.5,"Jun 10,18",284,"Comedy,School life,Seinen,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/40/w/4-1583471373.jpg
Nextworld,Chapter 2,"Jun 07,18",285,"Action,Drama,Sci fi,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/7/s/16-1583493741.jpg
G (Koike Keiichi),Vol.1 Chapter 0 : [Complete],"Jun 07,18",285,"Psychological,Sci fi,Seinen",Completed,5,https://avt.mkklcdnv6temp.com/11/b/11-1583484407.jpg
Cvn 73,Chapter 0 : Volume 1 [Complete],"Jun 07,18",285,Slice of life,Completed,5,https://avt.mkklcdnv6temp.com/6/y/9-1583480366.jpg
Juushin Liger,Vol.02 Chapter 1 : Volume 2,"Jun 07,18",285,"Action,Mecha,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/49/v/10-1583483977.jpg
Bakumatsu Ibunroku - Code Geass: Hangyaku No Lelouch,Chapter 4: Defeat Perry! The True Opening Of Japan To The World!!,"Jun 03,18",286,"Action,Adventure,Drama,Mecha,Sci fi",Completed,5,https://avt.mkklcdnv6temp.com/45/k/6-1583476094.jpg
Hana Wa Knife O Mi Ni Matou,Chapter 4: Yori-Chan's Feelings,"Jun 04,18",286,"Drama,Psychological,Romance,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/19/l/13-1583488451.jpg
Kumo No Graduale,Chapter 21.5: Postscript - The Cotton Candy Which Thought It Was A Cloud,"May 28,18",287,"Action,Adventure,Seinen",Completed,5,https://avt.mkklcdnv6temp.com/20/n/3-1583468479.jpg
Kabocha No Bouken,Vol.1 Chapter 17,"Mar 27,18",294,"Seinen,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/34/q/13-1583488981.jpg
A Selection Of Carnelian's Artworks,Vol.1.7 Chapter 0,"Mar 29,18",294,Ecchi,Completed,5,https://avt.mkklcdnv6temp.com/15/u/11-1583484584.jpg
Broken Angels,Vol.05 Chapter 0,"Mar 29,18",294,"Drama,Gender bender,Mystery,Psychological,Romance,Shoujo,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/19/f/7-1583476991.jpg
Mouryou Kiden,Vol.03 Chapter 5,"Mar 25,18",295,"Adventure,Drama,Fantasy,Romance,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/20/y/12-1583486587.jpg
Monster Collection,Vol.06 Chapter 7,"Mar 25,18",295,"Action,Adventure,Ecchi,Fantasy",Completed,5,https://avt.mkklcdnv6temp.com/21/o/12-1583486610.jpg
Moichido Koishite,Vol.02 Chapter 6 : End,"Mar 25,18",295,"Drama,Romance,Shounen ai,Yaoi",Completed,5,https://avt.mkklcdnv6temp.com/21/w/12-1583486621.jpg
Knighting Knight,"Vol.2 Chapter 8 : [Includes Chapters 8-13, See Forum For Chapter Names]","Mar 26,18",295,"Fantasy,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/49/w/12-1583487711.jpg
Rockman Zx,Vol.2 Chapter 7 : Final Chapter - The Light Of Courage,"Mar 18,18",296,"Action,Sci fi",Completed,5,https://avt.mkklcdnv6temp.com/2/r/12-1583485925.jpg
Bakune Young,Vol.03 Chapter 1.2,"Mar 21,18",296,"Mature,Psychological,Seinen",Completed,5,https://avt.mkklcdnv6temp.com/45/i/6-1583476089.jpg
Sad Love Story,Vol.05 Chapter 4,"Mar 17,18",297,"Drama,Romance,Shoujo,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/24/f/10-1583483047.jpg
Qp,Vol.9 Chapter 8 V2 : Gaiden,"Mar 17,18",297,"Action,Comedy,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/7/l/5-1583472156.jpg
Death Trance,Vol.03 Chapter 4,"Mar 15,18",298,"Action,Horror,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/22/c/7-1583477093.jpg
God Child,Vol.08 Chapter 8,"Mar 15,18",298,"Action,Adult,Adventure,Comedy,Doujinshi,Drama,Historical,Horror,Mystery,Psychological,Shoujo,Supernatural,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/10/i/8-1583478570.jpg
Araragi Express,Vol.08 Chapter 32 : Araragi Way [End],"Mar 16,18",298,"Action,Drama,Mature,Seinen",Completed,5,https://avt.mkklcdnv6temp.com/49/b/6-1583476231.jpg
Fever,Vol.04 Chapter 11 : Chapters 11-14 - End,"Mar 13,18",299,"Drama,School life,Shoujo,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/16/d/6-1583474802.jpg
F.o.x,Vol.05 Chapter 3.5,"Mar 13,18",299,"Adventure,Fantasy,Romance,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/16/y/6-1583474831.jpg
Eastcoast,Vol.05 Chapter 18.2 : End,"Mar 14,18",299,"Drama,Mature,Shoujo,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/19/p/6-1583474935.jpg
Shin Tenchi Muyo,Vol.10 Chapter 0 : Chapter 1 - 6 (End),"Mar 04,18",300,"Action,Comedy,Harem,Romance,Sci fi,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/27/w/5-1583472938.jpg
Rumic World,Vol.03 Chapter 7 : End,"Mar 04,18",300,Comedy,Completed,5,https://avt.mkklcdnv6temp.com/29/r/5-1583473008.jpg
Scrapped Princess,Vol.03 Chapter 0,"Mar 04,18",300,"Adventure,Comedy,Romance,Shoujo,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/29/b/5-1583472984.jpg
Priceless,Vol.03 Chapter 0,"Mar 07,18",300,"Comedy,Romance,School life,Shoujo,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/31/c/5-1583473120.jpg
Oyayubihime Infinity,Vol.06 Chapter 0 : End,"Mar 08,18",300,"Comedy,Drama,Fantasy,Historical,Romance,School life,Shoujo,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/32/d/5-1583473160.jpg
Pugyuru,"Vol.07 Chapter 2 : Goodbye, Pugyuru","Feb 27,18",301,"Comedy,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/7/p/5-1583472161.jpg
Nijiiro Togarashi,Vol.11 Chapter 10,"Feb 27,18",301,"Action,Adventure,Comedy,Drama,Fantasy,Historical,Martial arts,Romance,Sci fi,Shounen,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/9/y/5-1583472247.jpg
11Th Cat,Vol.05 Chapter 0 : + Extra,"Feb 12,18",302,"Comedy,Fantasy,Romance,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/23/i/4-1583470639.jpg
One,Vol.11 Chapter 71 : Outro: I'm Eighteen,"Feb 12,18",302,"Comedy,Drama,Romance,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/23/k/4-1583470642.jpg
Bakuden Shoot Beyblade,Vol.14 Chapter 4.5,"Feb 12,18",302,"Action,Adventure,Comedy,Fantasy",Completed,5,https://avt.mkklcdnv6temp.com/25/y/4-1583470752.jpg
Tokyo Boys And Girls,Vol.05 Chapter 5.1,"Feb 12,18",302,"Comedy,Drama,Romance,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/26/a/4-1583470755.jpg
Et Cetera,"Vol.9 Chapter 40 : Go Forth, Eto-Gun","Feb 02,18",303,"Action,Adventure,Comedy,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/49/m/3-1583469624.jpg
Furenai Koibito,Chapter 1,"Feb 04,18",303,"Drama,One shot,Romance,School life,Seinen,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/45/y/14-1583491342.jpg
A Train At The End Of Summer,Vol.01 Chapter 001,"Jan 12,18",305,"Drama,One shot,Romance,Seinen",Completed,5,https://avt.mkklcdnv6temp.com/8/r/7-1583476623.jpg
A Cruel God,Vol.01 Chapter 001 : (Oneshot),"Jan 12,18",305,"Drama,One shot,Shoujo ai",Completed,5,https://avt.mkklcdnv6temp.com/9/c/7-1583476638.jpg
Always Together,Vol.01 Chapter 001,"Jan 10,18",306,"Comedy,Drama,One shot,School life,Seinen,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/16/f/4-1583470328.jpg
Alice's Dream Files,Vol.01 Chapter 001 : Alice Dream Files Chapter 01,"Jan 11,18",306,"Fantasy,One shot,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/3/u/7-1583476430.jpg
Aki-Chan No Iibun,Vol.01 Chapter 001 : Oneshot,"Jan 11,18",306,"Comedy,One shot,Shounen ai,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/13/f/4-1583470208.jpg
At The Bottom Of The Stairway To Adulthood,Chapter 001,"Jan 09,18",307,"Romance,School life,Shoujo ai,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/17/o/3-1583468344.jpg
At The Park,Vol.01 Chapter 001,"Jan 09,18",307,"Drama,Josei,One shot,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/40/d/12-1583487350.jpg
As Long As The Sun Shines In The Sky,Vol.3 Chapter 12 V2 : [End],"Jan 10,18",307,"Drama,Romance,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/16/m/7-1583476898.jpg
Arata No Tsukumogami,Chapter 001,"Jan 10,18",307,"Action,One shot,Romance,Shounen,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/16/f/7-1583476888.jpg
Bikou Root,Vol.1 Chapter 1 : Oneshot,"Jan 08,18",308,"Comedy,One shot,Romance,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/5/v/2-1583465916.jpg
Bigger Hunter,Chapter 001,"Jan 08,18",308,"Action,Adventure,Mecha,One shot,Sci fi,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/27/q/9-1583481185.jpg
3D Material,Vol.1 Chapter 6 V2 : Angel's Hallway - Chapter 3 [End],"Jan 08,18",308,"Drama,Josei,Romance,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/17/w/11-1583484661.jpg
Beautiful People,Vol.1 Chapter 1 : 1 Princess White Snow 2 World's End 3 Electric Angel 4 The...,"Jan 08,18",308,"Drama,Josei,Psychological,Sci fi,Slice of life,Supernatural,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/17/q/7-1583476937.jpg
Because Goodbyes Are Coming Soon,Vol.01 Chapter 001,"Jan 08,18",308,"Action,Drama,Historical,One shot,Seinen,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/43/v/6-1583475967.jpg
Bokura No Ibasho,Vol.01 Chapter 001,"Jan 07,18",309,"One shot,Shoujo,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/13/y/11-1583484518.jpg
Boku No Petto,Vol.01 Chapter 001,"Jan 07,18",309,"Comedy,One shot,School life,Shoujo,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/7/j/4-1583469974.jpg
Boku No Mei,Chapter 001,"Jan 07,18",309,"One shot,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/17/c/9-1583480744.jpg
Boku No Kirai Na Akuma,Chapter 001,"Jan 07,18",309,"One shot,Shoujo,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/22/g/9-1583480969.jpg
Complex,Chapter 35,"Jan 07,18",310,"Adult,Comedy,Drama,Romance,School life,Slice of life,Yaoi",Completed,5,https://avt.mkklcdnv6temp.com/43/s/3-1583469391.jpg
Cool Lady,Vol.01 Chapter 001,"Jan 07,18",310,"Comedy,Josei,Mature,One shot,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/47/s/5-1583473758.jpg
Conversation In The Language Of Flowers - Black Lily,Chapter 001,"Jan 07,18",310,"Adult,One shot,Romance,Yuri",Completed,5,https://avt.mkklcdnv6temp.com/30/d/6-1583475348.jpg
Candy Doll,Vol.1 Chapter 1 : Candy Doll,"Jan 06,18",311,"Drama,One shot,Romance,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/19/u/7-1583477010.jpg
Call Of The Wind,Vol.01 Chapter 001,"Jan 06,18",311,"Drama,Historical,One shot,Yaoi",Completed,5,https://avt.mkklcdnv6temp.com/19/p/7-1583477004.jpg
Cha! Chu! Cho!,Vol.01 Chapter 001,"Jan 07,18",311,"Comedy,One shot,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/5/n/4-1583469889.jpg
Chic (Fuwa Shinri),Vol.01 Chapter 001,"Jan 07,18",311,"Doujinshi,One shot,Shounen ai",Completed,5,https://avt.mkklcdnv6temp.com/20/f/7-1583477024.jpg
Bye-Bye Love-Letter,Vol.01 Chapter 001,"Jan 07,18",311,"One shot,Romance,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/19/n/7-1583477001.jpg
Child Hazard,Vol.01 Chapter 001,"Jan 07,18",311,"One shot,Psychological,School life,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/20/i/7-1583477029.jpg
Farewell Showa,Vol.01 Chapter 001,"Jan 02,18",312,"Adult,Horror,One shot",Completed,5,https://avt.mkklcdnv6temp.com/16/j/6-1583474810.jpg
Fairytale Of Winter,Chapter 001,"Jan 02,18",312,"Fantasy,One shot,Romance,Shoujo,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/16/u/6-1583474826.jpg
Exile Monogatari,Chapter 002,"Jan 03,18",312,Shounen,Completed,5,https://avt.mkklcdnv6temp.com/24/e/7-1583477166.jpg
Ever Share Color,Vol.01 Chapter 001,"Jan 03,18",312,"One shot,Romance,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/17/m/6-1583474850.jpg
Everybody Loves Somebody,Chapter 001,"Jan 03,18",312,"Drama,One shot,Romance,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/17/j/6-1583474846.jpg
Futatabi,Chapter 001,"Jan 02,18",313,"Action,Adventure,Drama,Fantasy,Sci fi,Shounen",Completed,5,https://avt.mkklcdnv6temp.com/11/d/11-1583484410.jpg
Fukuda Ayano Monogatari,Chapter 001,"Jan 02,18",313,"Comedy,One shot,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/48/a/3-1583469569.jpg
Fushigi Na Melmo,Vol.1 Chapter 1-19 V2 : [End],"Jan 02,18",313,"Adventure,Comedy,Fantasy,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/47/q/3-1583469554.jpg
Fugitto Amor,Chapter 001,"Jan 02,18",313,"One shot,Romance,Shoujo,Slice of life,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/19/n/9-1583480841.jpg
From A Near Miss Comes Love,Vol.01 Chapter 001,"Jan 02,18",313,"Drama,One shot,Romance,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/14/m/6-1583474722.jpg
God's Charm,Chapter 001,"Jan 01,18",314,"One shot,Romance,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/36/e/9-1583481566.jpg
God's In His Heaven,Chapter 001,"Jan 01,18",314,"Drama,One shot,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/9/g/11-1583484341.jpg
Girl Queen,Vol.07 Chapter 033,"Jan 01,18",314,"Comedy,Fantasy,Romance,School life,Shoujo,Tragedy",Completed,5,https://avt.mkklcdnv6temp.com/46/x/5-1583473726.jpg
Girlish Delights,Vol.01 Chapter 001 : Chapter 1 (Oneshot),"Jan 01,18",314,"One shot,Romance,Shoujo ai",Completed,5,https://avt.mkklcdnv6temp.com/36/r/12-1583487204.jpg
Ghostrong,Chapter 001,"Jan 01,18",314,"Action,Fantasy,Shounen,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/10/a/11-1583484370.jpg
Happy Summer Dream,Vol.01 Chapter 001,"Dec 31,17",315,"One shot,Shoujo,Slice of life",Completed,5,https://avt.mkklcdnv6temp.com/6/r/11-1583484240.jpg
Hanbun Wa Ai De Dekitemasu,Vol.1 Chapter 6 : Hanbun Wa Ai De Dekitemasu,"Dec 31,17",315,"Comedy,One shot,Romance,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/42/u/1-1583465391.jpg
Hand-In-Hand Lovers,Vol.1 Chapter 1 : Hand-In-Hand Lovers,"Dec 31,17",315,"One shot,Romance,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/7/l/11-1583484269.jpg
Hana Sakasu Te,Vol.01 Chapter 001,"Dec 31,17",315,"One shot,Romance,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/7/i/11-1583484265.jpg
Halloween Rhapsody,Vol.01 Chapter 001,"Dec 31,17",315,"One shot,School life,Shoujo ai",Completed,5,https://avt.mkklcdnv6temp.com/33/z/12-1583487101.jpg
Hanako To Guuwa No Tera,Chapter 19 : Folklore Detective,"Dec 31,17",315,"Action,Adult,Adventure,Comedy,Cooking,Ecchi,Horror,Mystery,Romance,Shounen,Supernatural",Completed,5,https://avt.mkklcdnv6temp.com/50/a/7-1583478175.jpg
Hajimete No Chuu Ijou,Vol.01 Chapter 001,"Dec 31,17",315,"Comedy,Ecchi,One shot,Seinen",Completed,5,https://avt.mkklcdnv6temp.com/18/g/5-1583472560.jpg
Hina-Chan No Koi,Chapter 001,"Dec 30,17",316,"Romance,School life,Shoujo",Completed,5,https://avt.mkklcdnv6temp.com/21/s/9-1583480946.jpg
